10,10,13,06,09,09,09,09,09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10
10,10,13,06,09,09,09,09,09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10
10,10,13,06,09,09,09,09,09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10
10,10,13,06,09,09,09,09,09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10
10,10,13,06,09,09,09,09,09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10
24,11,18,02,08,08,08,08,08,08,08,08,08,08,08,08,08,01,12,10,10,10,10,10,10
26,15,04,03,16,14,14,14,14,14,14,14,14,14,14,15,00,16,25,10,10,10,10,10,10
10,13,02,01,12,10,10,10,10,10,10,10,10,10,10,13,00,12,10,10,10,10,10,10,10
10,26,14,14,21,10,10,10,10,10,10,10,10,10,10,13,00,12,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,00,17,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,00,00,00,00,00,00,00,00,00
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,00,16,14,14,14,14,14,14,14
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,00,12,10,10,10,10,10,10,10
07,07,07,07,07,07,07,07,07,03,00,00,00,00,00,00,00,12,10,10,10,10,10,10,10
09,09,09,09,09,09,09,09,09,05,16,14,14,14,14,14,14,21,10,10,10,10,10,10,10
09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
09,09,09,09,09,09,09,09,09,05,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10

0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
